City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Suchiapa,MX,2022-08-11 19:48:11,16.6167,-93.0833,87.24,59,83,2.17
267,Dawlatabad,AF,2022-08-11 19:48:11,36.4141,64.9053,75.94,24,0,1.97
268,Iwade,JP,2022-08-11 19:48:11,34.25,135.3167,82.2,88,100,2.26
269,Powell River,CA,2022-08-11 19:48:12,49.8496,-124.5361,74.84,60,20,2.3
270,Codrington,AU,2022-08-11 19:48:12,-38.2667,141.9667,46.22,83,100,7.63
271,Vestmannaeyjar,IS,2022-08-11 19:48:12,63.4427,-20.2734,50.99,87,75,10.36
272,Brownsville,US,2022-08-11 19:43:25,25.9018,-97.4975,97.09,58,100,11.5
273,Cururupu,BR,2022-08-11 19:44:46,-1.8283,-44.8683,82.04,69,62,6.44
274,Berlin,DE,2022-08-11 19:48:13,52.5244,13.4105,78.08,36,0,7.0
275,Bagdarin,RU,2022-08-11 19:48:13,54.4333,113.6,48.24,91,51,4.07
276,Cabo San Lucas,MX,2022-08-11 19:48:11,22.8909,-109.9124,95.61,64,65,1.01
277,Acapulco,MX,2022-08-11 19:47:40,16.8634,-99.8901,85.82,66,100,5.75
278,Ketchikan,US,2022-08-11 19:48:14,55.3422,-131.6461,66.67,68,0,13.8
279,Sibolga,ID,2022-08-11 19:48:14,1.7427,98.7792,75.15,78,18,3.8
280,Buenos Aires,AR,2022-08-11 19:47:15,-34.6132,-58.3772,65.95,55,0,9.22
281,Tshane,BW,2022-08-11 19:48:14,-24.0196,21.8684,65.12,15,0,10.71
282,Esperance,AU,2022-08-11 19:48:15,-33.8667,121.9,52.66,72,91,9.04
283,Kwidzyn,PL,2022-08-11 19:48:15,53.7249,18.9311,68.27,68,7,7.0
284,Morro Bay,US,2022-08-11 19:48:16,35.3658,-120.8499,95.72,48,20,10.0
285,Kieta,PG,2022-08-11 19:48:16,-6.2167,155.6333,78.42,81,100,1.25
286,Chambas,CU,2022-08-11 19:48:16,22.1928,-78.9136,87.53,56,88,14.61
287,Zheleznogorsk-Ilimskiy,RU,2022-08-11 19:48:17,56.5768,104.1217,50.72,97,3,2.95
288,Buchanan,LR,2022-08-11 19:48:17,5.8808,-10.0467,75.85,85,90,10.98
289,Sumbe,AO,2022-08-11 19:48:17,-11.2061,13.8437,68.32,88,73,3.8
290,Longyan,CN,2022-08-11 19:48:18,25.1072,117.0225,72.88,95,0,1.9
291,Rreshen,AL,2022-08-11 19:48:18,41.7675,19.8756,72.68,57,100,5.86
